snapped_at,price,market_cap,total_volume
2024-04-23 00:00:00 UTC,3199.769589894069,384466906716.16833,12101339610.34102
2024-04-24 00:00:00 UTC,3218.9672686428075,392775107740.5133,11111254140.889095
2024-04-25 00:00:00 UTC,3138.814357009402,383068563917.3423,14931662515.529316
2024-04-26 00:00:00 UTC,3157.6193174815944,385360500023.0152,14827151368.90256
2024-04-27 00:00:00 UTC,3131.4192197400516,381832436730.7926,11150981612.611172
2024-04-28 00:00:00 UTC,3259.2522227654413,397162781507.14,12739849720.355131
2024-04-29 00:00:00 UTC,3259.503404256033,398637824441.876,10786187404.455635
2024-04-30 00:00:00 UTC,3213.6890004948136,392350038771.61163,15480798749.513744
2024-05-01 00:00:00 UTC,3018.549635877818,368786372970.94403,19251155949.751816
2024-05-02 00:00:00 UTC,2976.0902075157046,364276973974.7534,22064350438.409042
2024-05-03 00:00:00 UTC,2988.5486490452654,358796765165.93835,14175880226.413488
2024-05-04 00:00:00 UTC,3102.1512923656555,373187731785.70636,13929437694.673725
2024-05-05 00:00:00 UTC,3115.0233215730136,374188248701.176,8430889402.258022
2024-05-06 00:00:00 UTC,3136.57511039041,376477227799.9195,8027546635.921553
2024-05-07 00:00:00 UTC,3064.5913995603364,368312963227.33984,13196102657.36935
2024-05-08 00:00:00 UTC,3015.1597696166846,362686607634.315,11727252097.462042
2024-05-09 00:00:00 UTC,2975.72696606529,357038251698.12964,10555086522.407984
2024-05-10 00:00:00 UTC,3038.3447046668207,364426702625.02203,10961137747.243969
2024-05-11 00:00:00 UTC,2910.684500017475,349622946794.7746,12185177562.18238
2024-05-12 00:00:00 UTC,2908.9827849031903,349391330491.6799,6479337783.261837
2024-05-13 00:00:00 UTC,2931.3106669139133,352120009302.884,5237992152.442184
2024-05-14 00:00:00 UTC,2948.3034552659406,354155572145.7024,13930280821.074911
2024-05-15 00:00:00 UTC,2881.7959916152945,346305956691.41315,11258734172.441973
2024-05-16 00:00:00 UTC,3035.758955126304,365225903815.16327,13809709402.13564
2024-05-17 00:00:00 UTC,2943.5851283842208,353501038738.847,11039599517.596857
2024-05-18 00:00:00 UTC,3095.9968442929658,371220670629.6318,13846325669.567377
2024-05-19 00:00:00 UTC,3120.5493782541066,375206332441.6955,8357435200.282594
2024-05-20 00:00:00 UTC,3071.324418093757,368598090418.054,6983633593.912785
2024-05-21 00:00:00 UTC,3656.390090299324,439830728213.1206,27159496889.816044
